comment,problem,problem_time,problem_who,review
"
 以前觉得我外地的穷给我显摆，现在就各种装穷要钱。 
",有钱没钱是另外一回事，有些家庭没钱，但是公婆也会出力，会尽他所能照顾月子，老公也会搭把手照顾孩子，照顾产妇！所以嫁人一定要看家庭看公婆！公婆好，老公才会好！这年头妈宝男太多了,2018-04-30 05:16,依1990,pingyun_
"
 离婚喊了几年了，除非走法律程序了 
",早点离婚吧，这种老公是没用的，会受一辈子苦,2018-04-30 03:10,零落幻影,pingyun_
"
 老公不好公婆不好，等孩子大点懂事了就好过自己的生活了 
",以前觉得我外地的穷给我显摆，现在就各种装穷要钱。,2018-04-30 08:04,pingyun_,依1990
"
 谢谢你 
",愿你长命百岁，愿你儿女平安快乐长大了孝顺你听你话！愿你远离这种失败无能的家庭！,2018-04-30 02:30,是你蕾,pingyun_
"
 这些年我跟他生气吵架都是因为他家人过分，有些事情做的过分到挑战人的极限 
",要是找的老公家人不好，就是嫁隔壁也过不好的,2018-04-30 07:34,阿拉、陈,pingyun_
"
 你们想不到我婆婆多恶心，我怀孕期间还拿一件别人的破衣服给我，我说我穿不了，她还一个劲说那件衣服是新的，是我老公表姐怀孕的衣服就没有怎么穿，我说我有衣服穿，她还要我试试看，我不来试，我说两个身高相差太多，即使我不大肚子也穿不了，我老公表姐一米六都不到，我比她高十公分左右了，然而这件衣服一直被我婆婆念念不忘的，我女儿两岁左右的时间她自己穿上了那件棉衣，还到我跟前说那件衣服都好，我只能呵呵，她穿了两天就脱下来挂楼梯，看到我养的两只小猫，就把那件衣服扔地上说让我的猫睡觉用 
",嫁到这种老公真的有苦无处说啊。,2018-04-30 06:54,姐姐0,pingyun_
"
 
",嫁到这种老公真的有苦无处说啊。,2018-04-30 06:54,姐姐0,雪山飞狐北侠
"
 是的等熬到孩子大了就好了， 
",老公不好公婆不好，等孩子大点懂事了就好过自己的生活了,2018-04-30 08:06,依1990,pingyun_
"
 所以结婚不仅看对象，也要看他的父母～之前我也异地，我爸妈反对，后来分手了，现在如果再给我一次机会，我自己也没勇气异地～ 
",这些年我跟他生气吵架都是因为他家人过分，有些事情做的过分到挑战人的极限,2018-04-30 08:13,pingyun_,阿拉、陈
"
 以前一个小孩子自己带，现在两个都是自己带，还会有人跟我老公说我日子过的最舒服了，什么都不用干就带带孩子 
",人生没有如果,2018-04-30 05:50,yaning1225,pingyun_
"
 何必在乎不相干的人什么，生活如人饮水，冷暖自知。不要让自己活的太苦 
",以前一个小孩子自己带，现在两个都是自己带，还会有人跟我老公说我日子过的最舒服了，什么都不用干就带带孩子,2018-04-30 08:36,pingyun_,yaning1225
"
 是的，我感觉我对公婆要求很低了，我什么都没要过他们的，什么都不要他们帮忙，还各种算计各种挑拨， 
",所以结婚不仅看对象，也要看他的父母～之前我也异地，我爸妈反对，后来分手了，现在如果再给我一次机会，我自己也没勇气异地～,2018-04-30 08:34,阿拉、陈,pingyun_
"
 关键这样他们有什么好处呢？希望自己儿子过的不幸福吗？还是希望你不快乐 
",是的，我感觉我对公婆要求很低了，我什么都没要过他们的，什么都不要他们帮忙，还各种算计各种挑拨，,2018-04-30 08:42,pingyun_,阿拉、陈
"
 别人说多了，我老公多少也会听进去的，我外地的他们家没有人会说他让他对我好点。都会说让他对自己父母好，什么事让着他爸妈 
",何必在乎不相干的人什么，生活如人饮水，冷暖自知。不要让自己活的太苦,2018-04-30 08:39,yaning1225,pingyun_
"
 我婆婆奇葩的，老乱说我头一次反驳她的时候，我老公在场，我老公说我说的都是事实，她就跪地上发誓狡辩，躺地上打滚装哭，我老公就拉她起来，多好笑！作为婆婆她给儿子演这一出就是想让人儿子难为我罢了，我老公没有顺了她的意，她那几天进进出出看到我老公就骂我老公脑子有毛病， 
",关键这样他们有什么好处呢？希望自己儿子过的不幸福吗？还是希望你不快乐,2018-04-30 08:43,阿拉、陈,pingyun_
"
 身在其中，别人没法体会，自己又走不出心里阴影，难啊 
",你们想不到我婆婆多恶心，我怀孕期间还拿一件别人的破衣服给我，我说我穿不了，她还一个劲说那件衣服是新的，是我老公表姐怀孕的衣服就没有怎么穿，我说我有衣服穿，她还要我试试看，我不来试，我说两个身高相差太多，即使我不大肚子也穿不了，我老公表姐一米六都不到，我比她高 ..,2018-04-30 08:25,pingyun_,姐姐0
"
 幸好你老公不是妈宝男，还分的清事实！不过你婆婆一直这样下去也影响你们夫妻感情的。太辛苦了 
",我婆婆奇葩的，老乱说我头一次反驳她的时候，我老公在场，我老公说我说的都是事实，她就跪地上发誓狡辩，躺地上打滚装哭，我老公就拉她起来，多好笑！作为婆婆她给儿子演这一出就是想让人儿子难为我罢了，我老公没有顺了她的意，她那几天进进出出看到我老公就骂我老公脑子有毛病 ..,2018-04-30 08:50,pingyun_,阿拉、陈
"
是的 
",我婆婆奇葩的，老乱说我头一次反驳她的时候，我老公在场，我老公说我说的都是事实，她就跪地上发誓狡辩，躺地上打滚装哭，我老公就拉她起来，多好笑！作为婆婆她给儿子演这一出就是想让人儿子难为我罢了，我老公没有顺了她的意，她那几天进进出出看到我老公就骂我老公脑子有毛病 ..,2018-04-30 08:50,pingyun_,pingyun_
"
 我老公对我婆婆很孝顺的，我婆婆她自己奇葩，各种吵各种闹，我婆婆电话打不通就给充话费，说衣服没有拿回来，我老公就去给她买换的，说手机听不清就买手机，买的手机用坏了还还给我们了，我生我女儿月子里我老公给我和女儿买了黄金回来，我婆婆看到之后当场就表现出来了，没给买生气了说了很多 
",幸好你老公不是妈宝男，还分的清事实！不过你婆婆一直这样下去也影响你们夫妻感情的。太辛苦了,2018-04-30 08:58,阿拉、陈,pingyun_
"
这样的家庭。你还生二胎干嘛。自己找罪受么。 
",幸好你老公不是妈宝男，还分的清事实！不过你婆婆一直这样下去也影响你们夫妻感情的。太辛苦了,2018-04-30 08:58,阿拉、陈,蜡笔小新没蜡笔
"
 你婆婆和我奶奶一样的，我过生日别人送我蛋糕，她就想到自己生日没蛋糕，生气了！ 
",我老公对我婆婆很孝顺的，我婆婆她自己奇葩，各种吵各种闹，我婆婆电话打不通就给充话费，说衣服没有拿回来，我老公就去给她买换的，说手机听不清就买手机，买的手机用坏了还还给我们了，我生我女儿月子里我老公给我和女儿买了黄金回来，我婆婆看到之后当场就表现出来了，没给买 ..,2018-04-30 09:08,pingyun_,阿拉、陈
"
发这里除了看笑话没有解决根本问题 
",我老公对我婆婆很孝顺的，我婆婆她自己奇葩，各种吵各种闹，我婆婆电话打不通就给充话费，说衣服没有拿回来，我老公就去给她买换的，说手机听不清就买手机，买的手机用坏了还还给我们了，我生我女儿月子里我老公给我和女儿买了黄金回来，我婆婆看到之后当场就表现出来了，没给买 ..,2018-04-30 09:08,pingyun_,junk
"
现在不住一起了，只是以前的事无法忘了 
",我老公对我婆婆很孝顺的，我婆婆她自己奇葩，各种吵各种闹，我婆婆电话打不通就给充话费，说衣服没有拿回来，我老公就去给她买换的，说手机听不清就买手机，买的手机用坏了还还给我们了，我生我女儿月子里我老公给我和女儿买了黄金回来，我婆婆看到之后当场就表现出来了，没给买 ..,2018-04-30 09:08,pingyun_,pingyun_
"
 她自己老公对她不好，就见不得儿子对媳妇好， 
",你婆婆和我奶奶一样的，我过生日别人送我蛋糕，她就想到自己生日没蛋糕，生气了！,2018-04-30 09:21,阿拉、陈,pingyun_
"
不容易 
",你婆婆和我奶奶一样的，我过生日别人送我蛋糕，她就想到自己生日没蛋糕，生气了！,2018-04-30 09:21,阿拉、陈,菠萝妹
"
看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事 
",你婆婆和我奶奶一样的，我过生日别人送我蛋糕，她就想到自己生日没蛋糕，生气了！,2018-04-30 09:21,阿拉、陈,艾美人生
"
 我妈都说，以后我弟娶媳妇，她巴结媳妇都来不及 
",她自己老公对她不好，就见不得儿子对媳妇好，,2018-04-30 09:23,pingyun_,阿拉、陈
"
看到二宝出来就看不下去了，这种家庭是谁给你的勇气生二胎 
",她自己老公对她不好，就见不得儿子对媳妇好，,2018-04-30 09:23,pingyun_,宅喵
"
你婆婆跟我婆婆一样，戏精一个，幸亏不在一起住，要不跟我老公早散伙了。看你说的情况好像跟我的一样，不过就是生孩子花钱我老公不听他妈的。二宝意外有的，就没打算告诉她。她知道也无所谓 我和孩子也不会再去他家了。人家不稀罕咱也不稀罕她 
",她自己老公对她不好，就见不得儿子对媳妇好，,2018-04-30 09:23,pingyun_,美丽的小百合
"
早点弄清楚，离吧 
",她自己老公对她不好，就见不得儿子对媳妇好，,2018-04-30 09:23,pingyun_,zzjj2017
"
离了嫁给我， 图片:3_3176980_1525051759871789.jpg 
",,,,利东18257088
"
是的，我们也是不住一起，她隔三差五打电话来找我女儿说话，孩子懂事了套近乎，小的时候一下不管 
",,,,pingyun_
"
好不幸   只能保佑你吧 
",,,,zhujunjie1995
"
大宝的时候都这样了还敢生老二了还说什么呢 
",,,,ywwjf1221
"
楼主，这不是远嫁不远嫁的问题，是没有找对人的问题，找对了，嫁到天涯海角也幸福，嫁不好，就隔壁邻居也都要闹飞天，所以，找老公一定要擦亮眼睛！妈宝的孩子不适合做老公. 
",,,,五星设计傅小姐
"
 
",,,,jimlines1
"
 应该是故意给他支开罢了，拿衣服是个借口， 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,pingyun_
,看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,笑呵苍天
"
也有好婆婆的 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,fakis2
"
都懒得看完怪自己找的男人当初应该瞎了吧 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,狂拉
"
这和远嫁没关系，有关系的是你没找对人 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,敛财
"
太长，没看完。有人逼着你嫁么，不自己选的。 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,打架劫色
"
额 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,宝贝丶灬
"
哈哈 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,劉大王
"
公说公有理，婆说婆有理，家务事没什么说的～～自己嫁的，不想分就过，不想过就分，家丑不可外扬～～ 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,相忘于江湖
"
男人自己选的，公婆选不了 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,pingyun_
"
婚姻就是这样，不管婆家是好是坏，习惯了融入了就幸福，就好比一个受虐狂嫁到了家暴的家庭，她会觉的她很幸福。如果你融入不了，要么离婚，要么分家，要么就学会习惯。 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,嶕岘居士
"
我婆婆在就满村传遍了， 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,pingyun_
"
我也是外地嫁义乌来的，但是我公公婆婆对我很好，老公对我也很好，虽然家里没钱，但是他们把我小孩一手带大，现在上学还帮忙接送。我觉得嫁哪里都是一样，关键是人要好 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,kushuishui
"
人有悲欢离合，月有阴晴圆缺。但愿人长久，千里不流泪 
",看不下去了   冷不会把自己衣服给妈穿   脑子有坑  不是孝顺的事,2018-04-30 09:26,艾美人生,江小乌
"
说点不想听的，我在想以后谁做你儿媳妇是有多倒霉，还不被你嫌弃死 
",,,,卡卡100
"
 爱屋及乌，儿子喜欢，媳妇自然喜欢，关键是我老公他爸妈不疼他，只会算计他，他又不长记性 
",我也是外地嫁义乌来的，但是我公公婆婆对我很好，老公对我也很好，虽然家里没钱，但是他们把我小孩一手带大，现在上学还帮忙接送。我觉得嫁哪里都是一样，关键是人要好,2018-04-30 09:38,kushuishui,pingyun_
"
出来住，你好好调教下老公，毕竟以后是你们自己过，过去的就过去了，人还是得向前看。 
",我也是外地嫁义乌来的，但是我公公婆婆对我很好，老公对我也很好，虽然家里没钱，但是他们把我小孩一手带大，现在上学还帮忙接送。我觉得嫁哪里都是一样，关键是人要好,2018-04-30 09:38,kushuishui,kushuishui
"
 莫名其妙 
",说点不想听的，我在想以后谁做你儿媳妇是有多倒霉，还不被你嫌弃死,2018-04-30 09:40,卡卡100,pingyun_
"
这种垃圾的家庭 赶紧离了 没意思 这种人毕竟是少数 奇葩 义乌也有好人 别因为一个垃圾舅对世界失望 
",说点不想听的，我在想以后谁做你儿媳妇是有多倒霉，还不被你嫌弃死,2018-04-30 09:40,卡卡100,振远
"
 已经出来了， 
",出来住，你好好调教下老公，毕竟以后是你们自己过，过去的就过去了，人还是得向前看。,2018-04-30 09:42,kushuishui,pingyun_
"
 下次再这样说，告诉你老公，谁说舒服谁带。我家大的坐月子的时候也是这样，我婆婆什么都不管，还说我很舒服，只用看孩子。我家大的那时候几分钟十几分钟闹一次，最长时间我两天都没睡觉。我跟我老公说了，既然看孩子这么舒服，你妈怎么不抱一下？按你妈的意思，她带孩子也很舒服，所以别说你妈辛苦，因为她自己说的，带孩子很舒服 
",以前一个小孩子自己带，现在两个都是自己带，还会有人跟我老公说我日子过的最舒服了，什么都不用干就带带孩子,2018-04-30 08:36,pingyun_,美丽的小百合
"
 别让你女儿接 
",是的，我们也是不住一起，她隔三差五打电话来找我女儿说话，孩子懂事了套近乎，小的时候一下不管,2018-04-30 09:30,pingyun_,美丽的小百合
"
义乌酱紫的婆婆很多的…… 
",是的，我们也是不住一起，她隔三差五打电话来找我女儿说话，孩子懂事了套近乎，小的时候一下不管,2018-04-30 09:30,pingyun_,义乌小妞妞
"
 我是好说，我老公脱离不了， 
",这种垃圾的家庭 赶紧离了 没意思 这种人毕竟是少数 奇葩 义乌也有好人 别因为一个垃圾舅对世界失望,2018-04-30 09:46,振远,pingyun_
"
建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响 
",这种垃圾的家庭 赶紧离了 没意思 这种人毕竟是少数 奇葩 义乌也有好人 别因为一个垃圾舅对世界失望,2018-04-30 09:46,振远,小怪兽a
"
小编终于还是忍不住开始改别人标题了 
",这种垃圾的家庭 赶紧离了 没意思 这种人毕竟是少数 奇葩 义乌也有好人 别因为一个垃圾舅对世界失望,2018-04-30 09:46,振远,中原风
"
 我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大 
",别让你女儿接,2018-04-30 09:48,美丽的小百合,pingyun_
"
这就是远嫁的悲哀、所以我女儿以后宁可单着也不会让她远嫁！怕她万一过不好连个娘家人也指不上、也怕她远嫁我不能经常看见我会想疯了！ 
",别让你女儿接,2018-04-30 09:48,美丽的小百合,微微不笑很倾国
"
 大宝两岁就分开了，她就不断骚扰我们 
",建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响,2018-04-30 09:49,小怪兽a,pingyun_
"
 
",建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响,2018-04-30 09:49,小怪兽a,哟西-
"
 一个大男人心里没一点数 
",应该是故意给他支开罢了，拿衣服是个借口，,2018-04-30 09:32,pingyun_,艾美人生
"
 我老公对我不差，我经常跟他吵离婚都是因为他父母， 
",建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响,2018-04-30 09:49,小怪兽a,pingyun_
"
上法院啊 自己这么废 还想托着你 一点用也没用 连自己老婆都保护不了 就算是父母也得有个限度 父母对老婆这样还一边倒 这样的男人干嘛用 有能力舍不得的就带走孩子 经济不行的就自私点 不要孩子了 有时候人要自私点 要为自己活 特别是碰到这种人 
",建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响,2018-04-30 09:49,小怪兽a,振远
"
要把老公调教好。我老公也是俩兄弟 
",建议你跟你婆婆分开住，这些矛盾就慢慢的会没有了，从你说的感觉你老公对你还是好的，就是傻，分开住就不会受他妈影响,2018-04-30 09:49,小怪兽a,丸子大人
"
 我婆婆见不得我老公对我好，总是说她养儿子辛苦，人家谁家的女儿也不是风吹大的 
",这就是远嫁的悲哀、所以我女儿以后宁可单着也不会让她远嫁！怕她万一过不好连个娘家人也指不上、也怕她远嫁我不能经常看见我会想疯了！,2018-04-30 09:51,微微不笑很倾国,pingyun_
"
空唠唠的，一个不好，还生二个。 
",这就是远嫁的悲哀、所以我女儿以后宁可单着也不会让她远嫁！怕她万一过不好连个娘家人也指不上、也怕她远嫁我不能经常看见我会想疯了！,2018-04-30 09:51,微微不笑很倾国,冷水茭白
"
 你让她儿子别结婚生孩子她们俩个人过一辈子去 
",我婆婆见不得我老公对我好，总是说她养儿子辛苦，人家谁家的女儿也不是风吹大的,2018-04-30 09:54,pingyun_,微微不笑很倾国
"
自己眼瞎怨得了谁。。。。嫁人不单单是找个好老公，还要看对方家庭父母怎么样。。。你都生二胎了，才发现这个问题。。 
",我婆婆见不得我老公对我好，总是说她养儿子辛苦，人家谁家的女儿也不是风吹大的,2018-04-30 09:54,pingyun_,kiki3214
"
50多好吃懒做 
",我婆婆见不得我老公对我好，总是说她养儿子辛苦，人家谁家的女儿也不是风吹大的,2018-04-30 09:54,pingyun_,大理寺
"
 不是生几个的问题， 
",空唠唠的，一个不好，还生二个。,2018-04-30 09:55,冷水茭白,pingyun_
"
第一女人经济要独立，第二不需要忍，当然也不是发火，你应该明确的表达自己思想。 
",空唠唠的，一个不好，还生二个。,2018-04-30 09:55,冷水茭白,贾乐乐
"
 那你要好好教育你老公，我的两个我是跟我老公说清楚了，既然以后不亲，以后就别见。因为上次回去，我婆婆让我老公转告我，以后我跟我女儿不用回去了。我说正好，以后有事也别喊我。每次回去得给他们买吃的买喝的，饭都吃不上，还要听她们叽叽歪歪说自己多辛苦，肯定辛苦，霸占着我老公的地，赚钱给大的两口子，还要我们感激他们 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,美丽的小百合
"
嫁给父母不疼的儿子，婆媳矛盾会很多，因为他们自己的儿子都不疼，更何况你一个外人。一句话，自己强大了谁也不能给你怎么样！ 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,大结局
"
这样的婆婆和老公，为什么还要生二胎 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,我在天桥看风景
"
我也觉得这跟远嫁没有关系，只是你遇到这样的婆婆，先把小孩照顾好，其他的不要太在意。 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,韩蓝
"
我居然看完了！我很想知道你那里的勇气生第二胎 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,爱的守护
"
离婚吧 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,宁魔攻
"
我公婆就会来虚伪的，人前装人，人后做鬼，过年的时候喊我们去吃饭，我不去，我老公也没有去，以前住一起我烧饭他们一家都一起吃，我婆婆烧饭就对我说我想怎么吃自己烧，然后我不上桌了再去说我坏话，说她烧好饭我不吃 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,pingyun_
"
你自己要远嫁，你自己的选择，多么苦你都要自己吃 
",我说他不让孩子接电话。他答应好下次电话打来还是给孩子接，我就火大,2018-04-30 09:50,pingyun_,sky月
"
 根本不缺钱，缺钱早就被逼死了啊 
",第一女人经济要独立，第二不需要忍，当然也不是发火，你应该明确的表达自己思想。,2018-04-30 10:00,贾乐乐,pingyun_
"
受苦一辈子，他们这样子是改变不了 
",第一女人经济要独立，第二不需要忍，当然也不是发火，你应该明确的表达自己思想。,2018-04-30 10:00,贾乐乐,静一静静
"
 开始又不知道他家庭是什么样， 
",你自己要远嫁，你自己的选择，多么苦你都要自己吃,2018-04-30 10:05,sky月,pingyun_
"
 所以我说我老公他爸妈这么过分都怪他不长记性 
",受苦一辈子，他们这样子是改变不了,2018-04-30 10:07,静一静静,pingyun_
"
有些婆婆不疼儿子的，这种能疼儿媳就怪了 
",受苦一辈子，他们这样子是改变不了,2018-04-30 10:07,静一静静,大理寺
"
 是的，所以我说我反感他爸妈假惺惺的打电话给我女儿套近乎，小时候一下没有管过，现在大了就怕孩子不知道爷爷奶奶了 
",有些婆婆不疼儿子的，这种能疼儿媳就怪了,2018-04-30 10:09,大理寺,pingyun_
"
这样还要二胎 
",有些婆婆不疼儿子的，这种能疼儿媳就怪了,2018-04-30 10:09,大理寺,snow1126
"
 是脱离不了这样的家庭跟二胎没什么关系 
",这样还要二胎,2018-04-30 10:15,snow1126,pingyun_
"
 点赞的朋友是不是也遇到了 
",义乌酱紫的婆婆很多的……,2018-04-30 09:49,义乌小妞妞,义乌小妞妞
,义乌酱紫的婆婆很多的……,2018-04-30 09:49,义乌小妞妞,科启小女神
